date,Sales,Price Discount (%),In-Store Promo,Catalogue Promo,Store End Promo,Product_SKU1,Product_SKU2,Product_SKU3,Product_SKU4,Product_SKU5,Product_SKU6
2017-02-05,27750,0.0,0,0,0,1,0,0,0,0,0
2017-02-12,29023,0.0,1,0,1,1,0,0,0,0,0
2017-02-19,45630,0.17,0,0,0,1,0,0,0,0,0
2017-02-26,26789,0.0,1,0,1,1,0,0,0,0,0
2017-03-05,41999,0.17,0,0,0,1,0,0,0,0,0
2017-03-12,29731,0.0,0,0,0,1,0,0,0,0,0
2017-03-19,27365,0.0,1,0,0,1,0,0,0,0,0
2017-03-26,27722,0.0,1,0,1,1,0,0,0,0,0
2017-04-02,44339,0.17,1,0,0,1,0,0,0,0,0
2017-04-09,54655,0.17,1,0,0,1,0,0,0,0,0
2017-04-16,108159,0.44,0,0,0,1,0,0,0,0,0
2017-04-23,30361,0.0,1,0,1,1,0,0,0,0,0
2017-04-30,42154,0.17,1,0,1,1,0,0,0,0,0
2017-05-07,39782,0.17,0,0,0,1,0,0,0,0,0
2017-05-14,29490,0.0,0,0,0,1,0,0,0,0,0
2017-05-21,25936,0.0,0,0,0,1,0,0,0,0,0
2017-05-28,26045,0.0,0,0,0,1,0,0,0,0,0
2017-06-04,25903,0.0,1,0,1,1,0,0,0,0,0
2017-06-11,43689,0.17,0,0,0,1,0,0,0,0,0
2017-06-18,25446,0.0,1,0,1,1,0,0,0,0,0
2017-06-25,42543,0.17,0,0,0,1,0,0,0,0,0
2017-07-02,27001,0.0,1,0,1,1,0,0,0,0,0
2017-07-09,45198,0.17,0,0,0,1,0,0,0,0,0
2017-07-16,28650,0.0,1,0,1,1,0,0,0,0,0
2017-07-23,42032,0.17,0,0,0,1,0,0,0,0,0
2017-07-30,27657,0.0,0,0,0,1,0,0,0,0,0
2017-08-06,26888,0.0,1,0,1,1,0,0,0,0,0
2017-08-13,46260,0.17,0,0,0,1,0,0,0,0,0
2017-08-20,29415,0.0,1,0,1,1,0,0,0,0,0
2017-08-27,50471,0.17,1,0,1,1,0,0,0,0,0
2017-09-03,49531,0.17,0,0,0,1,0,0,0,0,0
2017-09-10,30874,0.0,0,1,1,1,0,0,0,0,0
2017-09-17,82940,0.44,0,0,0,1,0,0,0,0,0
2017-09-24,34481,0.0,1,0,1,1,0,0,0,0,0
2017-10-01,96610,0.44,0,0,0,1,0,0,0,0,0
2017-10-08,31898,0.0,0,0,0,1,0,0,0,0,0
2017-10-15,33967,0.0,0,0,0,1,0,0,0,0,0
2017-10-22,33429,0.0,0,0,0,1,0,0,0,0,0
2017-10-29,34918,0.0,1,0,0,1,0,0,0,0,0
2017-11-05,104775,0.44,1,0,0,1,0,0,0,0,0
2017-11-12,57417,0.17,1,0,0,1,0,0,0,0,0
2017-11-19,60631,0.17,1,0,0,1,0,0,0,0,0
2017-11-26,64904,0.17,1,0,0,1,0,0,0,0,0
2017-12-03,66333,0.17,1,0,0,1,0,0,0,0,0
2017-12-10,71917,0.17,1,0,0,1,0,0,0,0,0
2017-12-17,94633,0.17,1,0,0,1,0,0,0,0,0
2017-12-24,155253,0.17,1,0,0,1,0,0,0,0,0
2017-12-31,89706,0.17,0,0,0,1,0,0,0,0,0
2018-01-07,41941,0.0,0,0,0,1,0,0,0,0,0
2018-01-14,37845,0.0,0,0,0,1,0,0,0,0,0
2018-01-21,43324,0.06,1,0,1,1,0,0,0,0,0
2018-01-28,65691,0.17,0,0,0,1,0,0,0,0,0
2018-02-04,35016,0.0,0,0,0,1,0,0,0,0,0
2018-02-11,33604,0.0,1,0,1,1,0,0,0,0,0
2018-02-18,55216,0.17,0,0,0,1,0,0,0,0,0
2018-02-25,33908,0.0,1,0,1,1,0,0,0,0,0
2018-03-04,51305,0.17,0,1,0,1,0,0,0,0,0
2018-03-11,91870,0.44,1,0,0,1,0,0,0,0,0
2018-03-18,51438,0.17,1,0,0,1,0,0,0,0,0
2018-03-25,54925,0.17,1,0,0,1,0,0,0,0,0
2018-04-01,79050,0.17,0,0,0,1,0,0,0,0,0
2018-04-08,35136,0.0,0,0,0,1,0,0,0,0,0
2018-04-15,34800,0.0,1,0,1,1,0,0,0,0,0
2018-04-22,56351,0.17,0,0,0,1,0,0,0,0,0
2018-04-29,34225,0.0,1,0,1,1,0,0,0,0,0
2018-05-06,49036,0.17,1,0,1,1,0,0,0,0,0
2018-05-13,52964,0.17,0,0,0,1,0,0,0,0,0
2018-05-20,34526,0.0,0,0,0,1,0,0,0,0,0
2018-05-27,33308,0.0,1,0,1,1,0,0,0,0,0
2018-06-03,49314,0.17,0,1,1,1,0,0,0,0,0
2018-06-10,84075,0.44,0,0,0,1,0,0,0,0,0
2018-06-17,32223,0.0,0,0,0,1,0,0,0,0,0
2018-06-24,32463,0.0,1,0,1,1,0,0,0,0,0
2018-07-01,51818,0.17,0,0,0,1,0,0,0,0,0
2018-07-08,35597,0.0,0,0,0,1,0,0,0,0,0
2018-07-15,35354,0.0,0,0,0,1,0,0,0,0,0
2018-07-22,35191,0.0,0,0,0,1,0,0,0,0,0
2018-07-29,33057,0.0,0,0,0,1,0,0,0,0,0
2018-08-05,32373,0.0,0,0,0,1,0,0,0,0,0
2018-08-12,31850,0.0,0,0,0,1,0,0,0,0,0
2018-08-19,31772,0.0,0,0,0,1,0,0,0,0,0
2018-08-26,29976,0.0,1,0,0,1,0,0,0,0,0
2018-09-02,52126,0.17,1,0,0,1,0,0,0,0,0
2018-09-09,48279,0.17,0,1,0,1,0,0,0,0,0
2018-09-16,86576,0.44,1,0,0,1,0,0,0,0,0
2018-09-23,49548,0.17,1,0,0,1,0,0,0,0,0
2018-09-30,67966,0.17,0,0,0,1,0,0,0,0,0
